ORIGINAL,REPLACEMENT,OCCURRENCE
ACETAMINOPHEN/CODEINE ELIXER,ACETAMINOPHEN,1
GUAIFENESIN/CODEINE ELIXIR,GUAIFENESIN,1
VITAMIN E (TOCOPHEROL) CAPSULES,VITAMIN E,6
DARVOCET (PROPACET) TABLETS,ACETAMINOPHEN,2
ACUITEL (QUINAPRIL),QUINAPRIL,3
"SIROLIMUS (SIROLIMUS, UNSPEC)",SIROLIMUS,6
PROMETHAZINE W/ CODEINE,PROMETHAZINE,258
NORETHINDRONE AND ETHINYL ESTRADIOL,NORETHINDRONE,47
ATROPINE DROPS (ATROPINE),ATROPINE,1
DEXCHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE,378
GRISEFULINE,GRISEOFULVIN,1
NOCTRAN,METHYPRYLON,360
METFORMIN HYDROCHLORIDE + ROSIGLITAZONE MALEATE TABLET (METFORMIN HCL ,METFORMIN,1
NEORAL (CICLOSPRIN),CYCLOSPORINE,1
DURGESIC,FENTANYL,6
RALOXIPHENE HYDROCHLORIDE,RALOXIFENE,1
FOLEX,METHOTREXATE,33
ALDACTAZIDE (HYDROCHLOROTHIAZIDE/SPIRONOLACTONE),SPIRONOLACTONE,1
TANAKAN (GINGKO TREE LEAVES EXTRACT),CHLOROQUINE,2
PERINDOPRIL            (PERINDOPRIL),PERINDOPRIL,2
FOLTEX,METHOTREXATE,51
NOCTAMIDE,METOCLOPRAMIDE,335
ACETAMINOPHNE (PARACETAMOL),ACETAMINOPHEN,4
MICONAZOLE NITRATE,MICONAZOLE,478
PEVARYL (ECONAZOLE NITRATE),ECONAZOLE,5
UVESTEROL (UVESTEROL),ERGOCALCIFEROL,10
GLUOCOPHAGE XR,METFORMIN,1
TYLENOLCOBALAMIN,ACETAMINOPHEN,1
MICROGESTIN FE 1/20,DIETHYLSTILBESTROL,38
TRILEPTIN,OXCARBAZEPINE,6
MACRODAUTIN,NITROFURANTOIN,1
DEXTROAMPETAMINE,DEXTROAMPHETAMINE,1
MIRAPEX(MIRAPEX),PRAMIPEXOLE,1
AZULFIDIEN (SULFASALAZINE),SULFASALAZINE,2
ASPIRIN (ACETYLSALICYCLIC AICD),ACETYLSALICYLIC ACID,1
LEXAGON,PHENOLPHTHALEIN,1
AMISFOSTINE,AMIFOSTINE,21
CARDIZAM CD,DILTIAZEM,4
SEVOFLURANCE,SEVOFLURANE,2
NORVASC (AMLODIPINE BESILAE),AMLODIPINE,1
CELEBREX (CELOCOXIB) CAPSULE,CELECOXIB,1
CEFIPIME,CEFIXIME,13
RESPIRIDOL,THEOPHYLLINE,2
NEOCLARITYN (DESLORATADINE),DESLORATADINE,11
KALINOR (POTASSIUM CHLORIDE),POTASSIUM CHLORIDE,20
ERYTHROMYCIN (ERYTHROMYCIN BASE FILMTABS),ERYTHROMYCIN,1
INSULINE MIXTARD 30/70,INSULIN DETEMIR,1
PARACETAMOLUM,ACETAMINOPHEN,23
VASOLAN (ISOPTIN) (VERAPAMIL),VERAPAMIL,1
ESTAVUDINE,STAVUDINE,3
ASPIRIN W/CODEINE,ACETYLSALICYLIC ACID,13
DECANOATE,ACETYLSALICYLIC ACID,5
DICODID (HYDROCODONE BITARTRATE),HYDROCODONE,5
"ERGENYL CHRONO (VALPROIC ACID, VALPROATE SODIUM)",VALPROIC ACID,4
DEXEDRINE (DEXAMFETAMINE SULFATE),DEXTROAMPHETAMINE,23
LASIX GENERIC,FUROSEMIDE,2
ASPIRIN/IBUPROFEN,ACETYLSALICYLIC ACID,1
TRIAMCINOLONE NASAL,TRIAMCINOLONE,1
ANSAID,FLURBIPROFEN,89
ACETAMINOPHEN + CODEINE PHOSPHATE,ACETAMINOPHEN,2
EZOL,ZOLEDRONATE,5
PROSOM,ESTAZOLAM,105
CODEINE + ACETAMINOPHEN,CODEINE,6
BELLASPAS,ISOPROTERENOL,8
OXYCODONE HCL + ACETAMINOPHEN,OXYCODONE,54
ASPIRIN+CAFFEINE+BUTALBITAL,ACETYLSALICYLIC ACID,2
VERELAN,VERAPAMIL,382
HYCOTUSS,GUAIFENESIN,12
PHENERGAN VC W/ CODEINE,PROMETHAZINE,7
TERAZOL 7,TERCONAZOLE,77
ASPIRIN + CAFFEINE + BUTALBITAL,ACETYLSALICYLIC ACID,3
SECONAL SODIUM,SECOBARBITAL,4
SPARINE,PROMAZINE,2
DURACT,CLONIDINE,19
PHRENILIN,PHENINDIONE,59
INDERIDE LA 120/50,PROPRANOLOL,1
NORETHIN,NORETHINDRONE,4
EMETE-CON,CHLORAMPHENICOL,1
ORPHENGESIC,ORPHENADRINE,1
STRATTERA (ATOMOXETINE HYDROCHLORIDE),ATOMOXETINE,2
MIGRANAL,DIHYDROERGOTAMINE,84
ASPIRIN + OXYCODONE,ACETYLSALICYLIC ACID,3
SANSERT,METHYSERGIDE,17
SECONAL,SECOBARBITAL,16
PROPOXYPHENE NAPSYLATE + ASA,PROPOXYPHENE,7
ACETAMINOPHEN + CODEINE NO. 3,ACETAMINOPHEN,3
CODEINE SULFATE,CODEINE,1831
CLOPIXOL DEPOT,ZUCLOPENTHIXOL,43
RAD001OR AZATHIOPRINE,EVEROLIMUS,3
COLONEL,PREDNISONE,168
FOSINOPRIL SODIUM TABS,FOSINOPRIL,2
VISTARIL (QUETIAPINE FUMARATE),HYDROXYZINE,1
EPINEPHRINE HYDROCHLORIDE,EPINEPHRINE,45
NOREPINEPHRINE HYDROCHLORIDE,NOREPINEPHRINE,76
TIROFIBAN HYDROCHLORIDE,TIROFIBAN,42
PAROXETINE HYDROCHLORIDE,PAROXETINE,3062
BROMFENEX,BROMPHENIRAMINE,28
"ALCOHOL (ETHANOL, )",ETHANOL,27
FARESTON,TOREMIFENE,277
HYDROCORTISONE ACETATE,HYDROCORTISONE,326
CYPROTERONE (CYPROTERONE),CYPROTERONE,15
ASPIRINA PROTECT,ACETYLSALICYLIC ACID,1
ISORBID (ISOSORBIDE DINITRATE),ISOSORBIDE DINITRATE,7
HYDROCHLORIDE (NICARDIPINE,HYDROCHLOROTHIAZIDE,1
NICARDIPINE HYDROCHLORIDE (NICARDIPINE HYDROCHLORIDE) (NR),NICARDIPINE,2
ESTRACYT,ESTRAMUSTINE,414
TRIAMTHIAZID,TRIAMTERENE,3
"CLOXACILLIN (CLOXACILLIN, )",CLOXACILLIN,1
"VITAMIN B1 AND B6 (PYRIDOXINE/THIAMINE, , 0)",THIAMINE,1
GLIBENKLAMID (GLIBENCLAMIDE),GLYBURIDE,2
ZIMOVANE (ZOPICLONE),ZOPICLONE,24
"DEPAKINE (VALPROATE SODIUM, , 0)",VALPROIC ACID,1
"LOXAPAC (LOXAPINE, CAPSULE, 0)",LOXAPINE,1
"ALCOHOL (ETHANOL, 0)",ETHANOL,4
"LAROXYL (AMITRIPTYLINE HYDROCHLORIDE, 0)",AMITRIPTYLINE,2
FEXOFENADINE (FEXOFENADINE) (NR),FEXOFENADINE,1
PAROXETINE (PAROXETINE) (NR),PAROXETINE,2
PROPRANOLOL (PROPRANOLOL) (NR) (PROPRANOLOL-HCL),PROPRANOLOL,1
RIZATRIPTAN (RIZATRIPTAN) (NR),RIZATRIPTAN,1
SEREVENT (NR),SALMETEROL,1
TERBUTALINE (TERBUTALINE (NR),TERBUTALINE,1
TRAMADOL (TRAMADOL) (NR),TRAMADOL,3
DEXAMPHETAMINE (TA),DEXTROAMPHETAMINE,1
"IMOVANE (ZOPICLONE, 0)",ZOPICLONE,1
ESPIRONOLACTON (NR),SPIRONOLACTONE,1
HIDROCLOROTIEZIDA (NR),HYDROCHLOROTHIAZIDE,1
NITRATE (NR),NITRAZEPAM,2
ATORVASTATIN (ATORVASTATIN) (NR),ATORVASTATIN,4
"TOSITUMOMAB, IODINE I 131 TOSITUMOMAB",TOSITUMOMAB,5
VASTEN TABS 40 MG,PRAVASTATIN,20
ATOMOXETINE HYDROCHLORIDE (ATOMOXETINE HYDROCHLORIDE),ATOMOXETINE,32
BUPROPION HYDROCHLORIDE (BYPROPION HYDROCHLORIDE),BUPROPION,1
SALMETEROL XINAFOATE (SALMETEROL XINAFOATE),SALMETEROL,107
CELESTENE (BETAMETHASONE) ORAL SOLUTION,BETAMETHASONE,6
MORPHINE ORALS,MORPHINE,1
TOBREX LOTION,TOBRAMYCIN,1
CYNOMEL,LIOTHYRONINE,11
DYNABAC,DIRITHROMYCIN,22
LERITE,ANILERIDINE,11
ANTIDEPESSANTS,IMIPRAMINE,1
ADALAT OROS,NIFEDIPINE,11
ESTROGEN (FOSFESTROL) (FOSFESTROL),CONJUGATED ESTROGENS,2
CEDAX,CEFTIBUTEN,82
"NOVORAPID (INSULIN ASPART) SOLUTION FOR INJECTION, 100U/ML",INSULIN ASPART,9
LANTUS (LANTUS),INSULIN GLARGINE,2
CHRONADALAT (NIFEDIPINE),NIFEDIPINE,1
BACITRACIN ZINC,BACITRACIN,18
CLEOCIN ANTIBIOTIC,CLINDAMYCIN,1
PANTOL,PANTOPRAZOLE,200
PLATINEX,CISPLATIN,33
"CARBENIN (BETAMIPRON, PANIPENEM)",CARBENICILLIN,90
ARIMIDEX ^ZENECA^ (ANASTROZOLE),ANASTROZOLE,10
PIOGLITAZON,PIOGLITAZONE,5
LAMISIL (TERBINAFINE HYDROCHLORIDE),TERBINAFINE,11
ZOLEDRONIC ACID (ZOLEDRONIC ACID),ZOLEDRONATE,69
"ARELIX (PIRETANIDE) TABLET, 1 TABLET",PIRETANIDE,1
NITROGLYCERIN  A.L.   (GLYCERYL TRINITRATE),NITROGLYCERIN,1
"INSULIN ACTRAPHANE (INSULIN HUMAN INJECTION, ISOPHANE)SOLUTION, 28-0-2",INSULIN ASPART,1
NEBILET (NEBIVOLOL HYDROCHLORIDE) TABLET 5MG,NEBIVOLOL,1
ISOSORBIDE DINITRATE ^PAR 022^,ISOSORBIDE MONONITRATE,1
GRANISETRON HCL,GRANISETRON,1251
ONDANESETRON HCL,ONDANSETRON,1
SCOPOLAMINE HYDROBROM,METHYLSCOPOLAMINE,1
ORTHO-NOVUM 7/7/7-21,NORETHINDRONE,120
RITUXIMAB 10MG/ML GENENTEC,RITUXIMAB,1
DEXTROPROPOXYPHENE NAPSILATE W/ACETAMINOPHEN,PROPOXYPHENE,1
LASILIS,FUROSEMIDE,1
OROXINE,LEVOTHYROXINE,107
TOFRANIL TAB,IMIPRAMINE,26
TRAMAL-SLOW RELEASE,TRAMADOL,1
MAGNEVIST INJECTION (GADOPENTATE DIMEGLUMINE)INJECTION,GADOPENTETATE DIMEGLUMINE,1
CLONIDINE PATCHES (CLONIDINE) (POULTICE OR PATCH),CLONIDINE,1
BECLOMETHASONE DIPROPIONATE (BECLOMETASONE DIPROPIONATE),BECLOMETASONE DIPROPIONATE,15
DOCETAXEL AVENTIS PHARMACEUTICALS,DOCETAXEL,1
COSMEGEN,DACTINOMYCIN,354
WELLBUTRIN (BUPROPION HYDROCHLORIDE) S,BUPROPION,1
PARACET (PARACETAMOL),ACETAMINOPHEN,24
LOPERAMIDE (LOPERAMIDE HYDROCHLORIDE),LOPERAMIDE,3
TRAMADOL (TRAMADOL HYDROCHLORIDE),TRAMADOL,2
ZIMOVANE (ZOPLICLONE),ZOPICLONE,1
CORTISONE INJECTION,HYDROCORTISONE,18
DARBEPOETIN ALFA 1000 MCG/ML AMGEN,DARBEPOETIN ALFA,1
NAPROSEN,NAPROXEN,34
LUMIGAN OPHTH,BIMATOPROST,1
LIDOCAINE INFUSION,LIDOCAINE,3
BUPROPION HYDROCHILORIDE (BUPROPION HYDROCHLORIDE),BUPROPION,1
CASODEXX,BICALUTAMIDE,1
WARFARINA (MEXICO)-ROFARMIN,WARFARIN,1
PROCHLORPERAZINE EDISYLATE (PROCHLORPERAZINE EDISYLATE),PROCHLORPERAZINE,3
TEGASEROD (TEGASEROD),TEGASEROD,23
NALTREXONE (NALTREXONE),NALTREXONE,24
UNIPHYL TABLETS (THEOPHYLLINE) CR TAB,THEOPHYLLINE,2
MERREM,MEROPENEM,379
LAMICTAL ^BURROUGHS WELLCOME^,LAMOTRIGINE,44
CIPROXIN/SCH/(CIPROFLOXACIN HYDROCHLORIDE),CIPROFLOXACIN,1
NOCTAMID,METOCLOPRAMIDE,315
URECHOLINE,BETHANECHOL,200
SINQUAN,DOXEPIN,6
IRSOGLADINE MALEATE (IRSOGLADINE MALEATE),RABEPRAZOLE,11
ZOPICLONE (ZOPLICLONE),ZOPICLONE,5
TRINALIN,TRAZODONE,14
SPIRO-RATIO,SPIRONOLACTONE,2
HYDROCHLOROTHIAZIDE AND IRBESARTAN,HYDROCHLOROTHIAZIDE,147
NITROGLYCERIN ^DAK^,NITROGLYCERIN,23
TALACEN,ACETAMINOPHEN,51
VIRAMIDINE,RIBAVIRIN,19
CIPRAMIL(CITALOPRAM HYDROBROMIDE),CITALOPRAM,3
PHENOBARBITAL SODIUM (PHENOBARBITAL SODIUM),PHENOBARBITAL,2
ANADROL,DANAZOL,40
ELIMITE,PERMETHRIN,31
GROWTH HORMONE,PEGVISOMANT,109
HYDROCODONE/ APAP,HYDROCODONE,3
INSULIN MIXTARD,INSULIN DETEMIR,93
FLUCONAZOL,FLUCONAZOLE,1
VASTAREL,PAPAVERINE,1576
TIMODINE,HYDROCHLOROTHIAZIDE,23
NESDONAL,THIOPENTAL,15
GLIBENESE,GLIPIZIDE,29
DIAZEPAM (DIAZPEM),DIAZEPAM,1
TRILAFON,PERPHENAZINE,686
FLOMAX MR ^YAMANOUCHI^,TAMSULOSIN,6
CEFUROXIME AXETIL TAB 500 MG,CEFUROXIME,1
PRIMPERAN INJ,METOCLOPRAMIDE,940
ACETYLASLICYLIC ACID (ACETYLASLICYLIC ACID),ACETYLSALICYLIC ACID,2
COMPAZINE (PROCHLORPERAZINE ESIDYLATE),PROCHLORPERAZINE,1
OXYCODONE (OXYCODONE),OXYCODONE,488
ATIVAN HS,LORAZEPAM,1
GABAPENTIN (GABAPENTN),GABAPENTIN,2
ACUITEL,QUINAPRIL,33
BEVANTOLOL HYDROCHLORIDE,BEVANTOLOL,9
PANTOPRAZOLE (PANTOPRAZOLE) (PANTOPRAZOLE),PANTOPRAZOLE,36
PREDNAZOLINE,PREDNISONE,6
BEZATOL,BEZAFIBRATE,174
"DICLOFENAC (WATSON LABORATORIES) (DICLOFENAC POTASSIUM) TABLET, 50MG",DICLOFENAC,1
TOPROL XL (METOPROLQL SUCCINATE),METOPROLOL,1
VITAMIN C AND IRON,VITAMIN C,2
OXYTROL,OXYBUTYNIN,427
FERRO-FALSAN,AMINOSALICYLIC ACID,1
HYDROCHLORIDE RETINOL,HYDROCHLOROTHIAZIDE,1
NOVALGINA,DIPHENHYDRAMINE,122
DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE,179
LIVOSTIN,LEVOCABASTINE,159
ANSATIPINE (RIFABUTIN),RIFABUTIN,10
PARACET,ACETAMINOPHEN,124
SAROTEX,AMITRIPTYLINE,51
PITRESSIN (VASOPRESSIN INJECTION),VASOPRESSIN,5
FENTANY,FENTANYL,12
COUGH,DEXTROMETHORPHAN,9
MALAISE,MALATHION,1
RHINORRHOEA,IPRATROPIUM BROMIDE,1
WARFARIN 2 MG TABLETS,WARFARIN,1
NASAREL (FLUNISOLIDE),FLUNISOLIDE,44
BELOC-ZOK,METOPROLOL,270
IRENAT,CROMOGLICIC ACID,81
URECHOLINE (BETHANECHOL CHLORIDE),BETHANECHOL,4
"GLUCOSAMINE, CHONDROITIN, MSM",N-ACETYL-D-GLUCOSAMINE,6
CARBATROL (CABAMAZEPINE),CARBAMAZEPINE,1
ORTHO,NORETHINDRONE,26
CONCERTA (METHYLPHENIDATE HYDROCHORIDE),METHYLPHENIDATE,1
PAROXETINE 30 MG GENERIC,PAROXETINE,1
BETAXOLQL HYDROCHLORIDE (BETAXOLOL HYDROCHLORIDE),BETAXOLOL,1
OLMESARTAN MEDOXOMIL,OLMESARTAN,4591
AZITHROMAX 250 MG,AZITHROMYCIN,1
"WARFARIN 2 MG, 3 MG",WARFARIN,1
WARFARIN 2.5,WARFARIN,2
URSODEOXYCHOLIC ACID (URSODEOXYCHLOCIC ACID),URSODEOXYCHOLIC ACID,1
LITHIUM CARBONATE  (GENERIC) (LITHIUM CARBONATE),LITHIUM,1
FLECAMIDE,FLECAINIDE,2
DICLOFENAC 75 MG EC,DICLOFENAC,1
EPOTIN,EPOETIN ALFA,7
RANITIDINE HYDROHCLORIDE,RANITIDINE,2
DUROGESIC (TENTANYL) PATCH,FENTANYL,1
DICONAL,DICUMAROL,16
PREPULSID (CISAPRIDE) TABLETS,CISAPRIDE,17
HEXADROL,DEXAMETHASONE,56
CIPROXIN,CIPROFLOXACIN,463
BROMAZEPAM BIOGALENIQUE,BROMAZEPAM,2
FOLIC ACID TAB,FOLIC ACID,18
FOSAMAX (ALANDRONATE SODIUM),ALENDRONATE,9
ASPIRIN C,ACETYLSALICYLIC ACID,18
BENZTROPEINE,BENZATROPINE,61
IGROTON (CHLORTALIDONE) TABLETS,CHLORTHALIDONE,1
ACETAMINOPHEN AND TRAMADOL HCL,ACETAMINOPHEN,1105
LEVOFLOXACIN (LEVOFLOXACIN) TABLETS,LEVOFLOXACIN,2
AMISULPIRIDE (AMISULPRIDE),AMISULPRIDE,1
BECLOMETHASONE (BECLMETHASONE),BECLOMETASONE DIPROPIONATE,1
TPA,TENECTEPLASE,6
RETAVASE 10 UNITS X 2 DOSES,RETEPLASE,1
SELEXID (PIVMECILLINAM HYDROCHLORIDE),PIVMECILLINAM,10
RETEPLASE (RETAVASE) CENTOCOR INC,RETEPLASE,1
DEPAKINE CHRONO (DEPAKENE TABLETS) (VALPROATE SODIUM) (VALPROATE SODIU,VALPROIC ACID,1
LANSOPREZOLE,LANSOPRAZOLE,1
INDOMETACIN (INDOMETACIN) CAPSULES,INDOMETHACIN,1
TAKEPRON (LASNOPRAZOLE) CAPSULES,LANSOPRAZOLE,1
CALCIUM 600 MG + VITAMIN D 200IU/WALGREENS,EDETIC ACID,2
FERROSANOL DUODENAL (FERROGLYCINE SULFATE COMPLEX),AMINOSALICYLIC ACID,1
POTASSIUM (POTASSIUM) TABLETS,POTASSIUM,4
TACROLIMUS 1MG,TACROLIMUS,2
GOSRELIN,GOSERELIN,1
AZATHIOPRINE (AZATHIOPRINE) UNKNOWN,AZATHIOPRINE,3
CALCIUM (CALCIUM) UNKNOWN,CALCIUM CARBONATE,4
PANTOPRAZOLE (PANTOPRAZOLE) UNKNOWN,PANTOPRAZOLE,1
VOLTAREN SR (DICLOFENAC SODIUM) CAPSULES,DICLOFENAC,8
LEPETAN,MEPROBAMATE,236
CARBOCAINE,MEPIVACAINE,144
CHIROCAINE,LEVOBUPIVACAINE,56
GEMCITABINE HYDROCHLORIDE -IV (GEMCITABINE),GEMCITABINE,2
HUMATROPE (SOMTAROPIN),SOMATROPIN RECOMBINANT,1
VALSARTAN VS AMLODIPINE,VALSARTAN,4
IDOMETHINE,INDOMETHACIN,54
MYORELAX,GUAIFENESIN,3
NUREFLEX,IBUPROFEN,80
TILCOTIL,TENOXICAM,73
LIVITON,LEVOCABASTINE,4
CODEINE/APAP,CODEINE,7
DOPAL,LEVODOPA,1
VOLTAREN ^CIBA-GEICY^,DICLOFENAC,1
ASPIRIN (ACETYSALICYLIC ACID),ACETYLSALICYLIC ACID,11
ISOSORBIDE DINETRATE,ISOSORBIDE MONONITRATE,1
CELECOXIB 100 MG CAP,CELECOXIB,1
FERROCAL,IRON,11
ACIMETHIN (METHIONINE),L-METHIONINE,7
MORPHINE (SOLUTION) MORPHINE,CODEINE,1
DIFLUPREDNATE (DIFLUPREDNATE),DIFLUPREDNATE,9
BIPERIDEN LACTATE (BIPERIDEN LACTATE),BIPERIDEN,2
"PROTEINS, AMINO ACID AND PREPARATIONS (ALL OTHER THERAPEUTIC PRODUCTS)",DIHYDROTESTOSTERONE,8
CORTICOSTEROIDS () UNKNOWN,CORTICOTROPIN,5
"ERGOCALCIFEROL, CALCIUM PHOSPHATE, CALCIUM SODIUM",ERGOCALCIFEROL,1
ETIDRONATE DISODIUM (DIDRONEL),ETIDRONIC ACID,2
PRAZEPAM (LYSANXIA 10 MG),PRAZEPAM,1
TRAMADOL HYDROCHLORIDE (CONTRAMAL),TRAMADOL,2
CLODRONIC ACID (CLODONIC ACID),CLODRONATE,1
TRAMADOLOL (TRAMADOLOL),TRAMADOL,1
CEFPIRAMIDE SODIUM,CEFPIRAMIDE,21
INTRAFAT,THIOPENTAL,55
XYLOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE),LIDOCAINE,3
TRIMETHOPRIUM,TRIMETHOPRIM,1
GINGKGO BILOBA,GINKGO BILOBA,2
ULCOGANT (SUCRALFATE) ORAL SOLUTION,SUCRALFATE,1
MERREM (MEROPENAM),MEROPENEM,1
SEDIEL,TOFISOPAM,255
COAGULATION FACTORS (NOS) (COAGULATION FACTOR VIII),ANTIHEMOPHILIC FACTOR,1
"ETANERCEPT (ETANERCEPT, UNSPEC)",ETANERCEPT,2
CITALOPRAM HYDRBROMIDE (CITALOPRAM HYDROBROMIDE),CITALOPRAM,1
GLUTROL XL,GLIPIZIDE,1
HYDROCORTISONE CREAM,HYDROCORTISONE,173
ADENOSCAN,ADENOSINE,296
FLUNARIZINE DIHYDROCHLORIDE (FLUNARIZINE DIHYDROCHLORIDE),FLUNARIZINE,1
AMPHETAMINES,AMPHETAMINE,267
VITAMIN B COMPLEX (CALCIUM PANTOTHENATE/NICOTINAMIDE/PYRIDOXIN E HYDRO,FOLIC ACID,1
CIPRODEX,CIPROFLOXACIN,154
EUGLUCAN (GLIBENCLAMIDE),GLYBURIDE,3
FLUMARIN,TERAZOSIN,451
KENACORT-A INJ,TRIAMCINOLONE,5
MONOKET OD (ISOSORBIDE MONONITRATE),ISOSORBIDE MONONITRATE,5
HEPARIN INJ. (BAXTER),HEPARIN,1
NITROGLYCERIN OINTMENT,NITROGLYCERIN,4
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE,413
FENYTOIN,PHENYTOIN,20
TAPAZOLE,METHIMAZOLE,646
"NOVORAPID CHU FLEXPEN (INSULIN ASPART) SOLUTION FOR INJECTION, 100U/ML",INSULIN ASPART,7
MERONEM (MEROPENEM),MEROPENEM,70
METHYLCLOTHIAZIDE/TRAIMTERENE,METHYCLOTHIAZIDE,1
EXTRA STRENGTH BAYER BACK + BODY PAIN,BISMUTH SUBSALICYLATE,8
NIMOTOP,NIMODIPINE,238
PULIMICORT,BUDESONIDE,1
ROBITUSSIN A-C,GUAIFENESIN,27
PROPARACAINE OPTH SOLN 0.5% ALCON,PROPARACAINE,2
TROPICAMIDE OPTH SOLN 0.5% FALCON,TROPICAMIDE,1
LEVSIN PB,HYOSCYAMINE,104
ROBITUSSIN AC,GUAIFENESIN,85
ATENOLOL MSD,ATENOLOL,41
CITALOBRAM HYDROBROMIDE,CITALOPRAM,1
METHYLSUFONYLMETHANE (METHYLSULFONYLMETHANE),DIMETHYL SULFOXIDE,1
SORBINIL,ISOSORBIDE DINITRATE,1
CARBAMAZEPINE (CARMAZEPINE),CARBAMAZEPINE,1
ACETYLSALICYLIC ACID (ACETYLSALICYLIC),ACETYLSALICYLIC ACID,1
CLINDAMYCIN     (CLINDAMYCIN),CLINDAMYCIN,1
PROPACET           (PARACETAMOL DEXTROPROPXYPHENE NAPSILATE),PROPOXYPHENE,1
OFLOXACIN EYE DROPS,OFLOXACIN,3
NORETHISTERONE,NORETHINDRONE,239
CISAPRIDE ANHYDRICUM,CISAPRIDE,2
SALMETEROL + FLUTICASONE,SALMETEROL,57
PEPTAC,FAMOTIDINE,76
VENLOFAXINE,VENLAFAXINE,3
DILTIZEM,DILTIAZEM,14
PSEUDO/TRIPROLIDINE,THEOPHYLLINE,1
ALIMTA,PEMETREXED,5992
REDOMEX,AMITRIPTYLINE,140
SEVELAMER HYDROCHLORIDE (TABLETS),SEVELAMER,2
TAMAZEPAM,CAMAZEPAM,8
SALIGREN (CEVIMELINE HYDROCHLORIDE HYDRATE),CEVIMELINE,7
VITAMIN B1 AND B6 (PYRIDOXINE/THIAMINE),THIAMINE,6
UVESTEROL (ASCORBIC ACID/ERGOCALCIFEROL/RETINOL/TOCOPHEROL),ERGOCALCIFEROL,3
"AMINOPHYLLINE (AMINOPHYLLINE), UNKNOWN",AMINOPHYLLINE,1
"GLUTATHIONE (GLUTATHIONE), UNKNOWN",GLUTATHIONE,1
ASPIRIN DISPERSIBLE,ACETYLSALICYLIC ACID,1
"CORDAREX (AMIODARONE, INJECTION)",AMRINONE,18
SEVORANE (SEVOFLURANE) (SEVOFLURANE),SEVOFLURANE,8
SYNTHOIR,LEVOTHYROXINE,2
THALIDOMIDE 100 MG PO  QD,THALIDOMIDE,1
GLUCOPHAGE (METFORMIN HYDROCHLORIDE) FILM COATED,METFORMIN,1
PULMICORT TURBUHALER (BUDESONIDE) POWDER,BUDESONIDE,2
ZOPICLONE (ZOPICLONE) FILM COATED TABLET,ZOPICLONE,1
RESLIN,TROGLITAZONE,343
KENACORT-A,TRIAMCINOLONE,27
PARIET (RABEPRAZOLE),RABEPRAZOLE,380
DEXTRAN,DEXAMETHASONE,29
OLANZEPINE,OLANZAPINE,9
"THALIDOMIDE (THALIDOMIDE) (100 MILLIGRAM, CAPSULES)",THALIDOMIDE,4
LOSARTAN POTASSIUM HYDROCHLORIDE,LOSARTAN,3
NITROGLYCERIN ^PHARMACIA-UPJOHN^,NITROGLYCERIN,5
PEPTO-BISMOL,BISMUTH SUBSALICYLATE,215
CATAFLAM,DICLOFENAC,512
LORAZEPAM (LORAZEPAM) UNSPECIFIED,LORAZEPAM,1
MAGNESIUM OXIDE (UNSPECIFIED) MAGNESIUM OXIDE,MAGNESIUM SULFATE,1
PIPERACILLIN SODIUM (PIPERACILLIN SODIUM) UNSPECIFIED),PIPERACILLIN,1
FLUNITRAZEPAM (FLUNITRAZEPAM) UNSPECIFIED,FLUNITRAZEPAM,9
LEVOPROME,METHOTRIMEPRAZINE,28
NITRAZEPAM (NITRAZEPAM) UNSPECIFIED),NITRAZEPAM,1
PSYCHOTROPIC AGENTS (ANTIPSYCHOTICS) UNSPECIFIED,THALIDOMIDE,1
RISPERDAL (RISPERIDONE) UNSPECIFIED,RISPERIDONE,1
TRIHEXYPHENIDYL HYDROCHLORIDE (TRIHEXYPHENIDYL HYDROCHLORIDE) UNSPECIF,TRIHEXYPHENIDYL,1
NEBCIN,TOBRAMYCIN,68
ERYTHROPOETIN (ERYTHROPOETIN),EPOETIN ALFA,5
PARICALCITOL (PARICALCITOL),PARICALCITOL,9
SEVELAMER HYDROCHLORIDE (SEVELAMER HYDROCHLORIDE),SEVELAMER,26
"MAREVAN (WARFARIN SODIUM), 5MG",WARFARIN,1
NICORETTE GUM (NICOTINE RESIN),NICOTINE,3
PROPRAZODINE,PROPRANOLOL,1
PROPYLIODONE,PROPYLTHIOURACIL,1
DIFFERIN,ADAPALENE,470
DIHYDROCODEINE PHOSPHATE (DIHYDROCODEINE PHOSPHATE),DIHYDROCODEINE,4
CHLORTRIMETRON,CHLORPHENIRAMINE,4
FELDIPINE,FELODIPINE,2
ODANSETRON,DANTRON,58
FOLIC ACID TABLETS,FOLIC ACID,1
"HUMULIN - HUMAN INSULIN (RDNA) :30% REGULAR, 70% NPH","INSULIN, ISOPHANE",1
OVESTERIN,ESTRONE,22
COMPAZINE (PROCHLOROPERAZINE EDISYLATE),PROCHLORPERAZINE,1
XANATAN,ATORVASTATIN,1
KALIUM HAUSMANN,POTASSIUM CHLORIDE,3
MARCOUMAR(PHENPROCOUM),PHENPROCOUMON,1
AMIODARONE HYRDOCHLORIDE (AMIODARONE HYDROCHLORIDE),AMIODARONE,1
PROLASTIN,CISPLATIN,199
